Date,Total
2021-07-08,3773
2021-07-09,3172
2021-07-10,2079
2021-07-11,2725
2021-07-12,4542
2021-07-13,3795
2021-07-14,3941
2021-07-15,4064
2021-07-16,3474
2021-07-17,2093
2021-07-18,2426
2021-07-19,4339
2021-07-20,4064
2021-07-21,4224
2021-07-22,4603
2021-07-23,4369
2021-07-24,2532
2021-07-25,3276
2021-07-26,4917
2021-07-27,4430
2021-07-28,4977
2021-07-29,5193
2021-07-30,4001
2021-07-31,1996
2021-08-01,2538
2021-08-02,4764
2021-08-03,5651
2021-08-04,5777
2021-08-05,4789
2021-08-06,3782
2021-08-07,1920
2021-08-08,2526
2021-08-09,4481
2021-08-10,6034
2021-08-11,5006
2021-08-12,4450
2021-08-13,3112
2021-08-14,1914
2021-08-15,2359
2021-08-16,3948
2021-08-17,5727
2021-08-18,6365
2021-08-19,6323
2021-08-20,5151
2021-08-21,1947
2021-08-22,3128
2021-08-23,7999
2021-08-24,7104
2021-08-25,6457
2021-08-26,6643
2021-08-27,5355
2021-08-28,2341
2021-08-29,2367
2021-08-30,5592
2021-08-31,6770
2021-09-01,6877
2021-09-02,7272
2021-09-03,6279
2021-09-04,2741
2021-09-05,2483
2021-09-06,5456
2021-09-07,6082
2021-09-08,6139
2021-09-09,5865
2021-09-10,6362
2021-09-11,3132
2021-09-12,2681
2021-09-13,5788
2021-09-14,7001
2021-09-15,6721
2021-09-16,7556
2021-09-17,7278
2021-09-18,4026
2021-09-19,3514
2021-09-20,6476
2021-09-21,7863
2021-09-22,8418
2021-09-23,8290
2021-09-24,7189
2021-09-25,3567
2021-09-26,4088
2021-09-27,7418
2021-09-28,8765
2021-09-29,7798
2021-09-30,9212
2021-10-01,7115
2021-10-02,3903
2021-10-03,5038
2021-10-04,7843
2021-10-05,8872
